2026-09-24 14:42:41.298 [INFO] [QUEST] WEB: Simulator interface layer готов. | {"layer":true,"supportsDialogue":true,"supportsChoice":true}
2026-09-24 14:42:41.299 [INFO] [QUEST] WEB: Web document load завершён. | {"title":"Симулятор","url":"file:///C:/Users/Admin/AppData/Local/Temp/.net/AssistQuestEditor/wNxNqG9HF-CH/Web/simulator.html?v=1.0.40.180"}
2026-09-24 14:42:41.324 [INFO] [QUEST] Journal: событие добавлено. | {"eventType":"ChannelChanged","timestamp":"2026-09-24T09:42:41.3151472+00:00","source":"Кампания","message":"{\"channel\":\"environment\",\"description\":\"Изменено окружение\"}","entryCount":1,"detached":true}
2026-09-24 14:42:41.332 [INFO] [QUEST] Simulator: событие опубликовано. | {"eventType":"ChannelChanged","timestamp":"2026-09-24T09:42:41.3151472+00:00","source":"Кампания","payload":{"channel":"environment","description":"Изменено окружение"},"runtimeState":{"QuestId":"tutorial_ruslan_shashlik","CurrentNodeId":null,"Status":0,"WaitingFor":null,"LastEvent":"","LastTransition":""}}
2026-09-24 14:42:41.467 [INFO] [QUEST] Quest UI: snapshot, ожидаемая цель и Runtime. | {"stage":"snapshot","questId":"tutorial_ruslan_shashlik","questName":"Спецмаринад для Руслана — учебный квест","graphNodes":21,"graphConnections":20,"runtimeState":{"QuestId":"tutorial_ruslan_shashlik","CurrentNodeId":null,"Status":0,"WaitingFor":null,"LastEvent":"","LastTransition":""},"currentNode":null,"target":null}
2026-09-24 14:42:41.558 [INFO] [QUEST] Journal: открытие окна. | {"entryCount":1,"detached":true}
2026-09-24 14:42:41.600 [INFO] [QUEST] Journal: native окно показано. | {"entryCount":1}
2026-09-24 14:42:41.637 [INFO] [QUEST] WEB: Дорожная геометрия получена. | {"segments":98341}
2026-09-24 14:42:41.638 [INFO] [QUEST] Quest UI: snapshot загружен. | {"graph":{"id":"tutorial_ruslan_shashlik","name":"Спецмаринад для Руслана — учебный квест","nodes":21,"connections":20},"runtime":{"status":"Stopped","rawStatus":"Stopped","currentNodeId":null,"waitingFor":null,"lastEvent":"","lastTransition":""}}
2026-09-24 14:42:41.638 [INFO] [QUEST] Quest UI: целевая точка вычислена. | {"stage":"snapshot","runtimeStatus":"Stopped","rawRuntimeStatus":"Stopped","currentNodeId":null,"targetKind":"none","targetPointId":null,"targetName":null,"targetCategory":null,"targetPosition":null,"radius":null,"found":false}
2026-09-24 14:42:41.639 [INFO] [QUEST] Quest UI: камера и ожидаемая цель обработаны. | {"currentNodeId":null,"targetPointId":null,"targetFound":false,"camera":{"cx":0,"cz":0,"mpp":50}}
2026-09-24 14:42:41.639 [INFO] [QUEST] WEB: Simulator получил snapshot. | {"points":5192,"selectedPointId":null,"player":{"x":158898,"y":89.5193,"z":-76926.55},"version":"1.0.40.180-LOCATION-SEARCH-TRACE-R28"}
2026-09-24 14:42:41.640 [INFO] [QUEST] Интерфейс Scene: состояние обновлено. | {"kind":null,"active":false,"requestId":null,"changed":false}
2026-09-24 14:42:41.709 [INFO] [QUEST] Quest UI: карта перерисована. | {"runtimeStatus":"Stopped","rawRuntimeStatus":"Stopped","currentNodeId":null,"targetPointId":null,"targetHighlighted":false,"targetRendered":false,"targetVisible":false,"targetScreen":null,"playerScreen":{"x":445,"y":343},"targetRadiusPx":null,"measurementRingsRendered":[500,1000,1500,2000]}
2026-09-24 14:42:41.724 [INFO] [QUEST] Quest UI: Simulator event получен. | {"event":{"EventType":"ChannelChanged","Payload":{"channel":"environment","description":"Изменено окружение"},"Source":"Кампания","Timestamp":"2026-09-24T09:42:41.3151472+00:00"},"runtime":{"status":"Stopped","currentNodeId":null,"waitingFor":null}}
2026-09-24 14:42:41.860 [INFO] [QUEST] Quest UI: snapshot загружен. | {"graph":{"id":"tutorial_ruslan_shashlik","name":"Спецмаринад для Руслана — учебный квест","nodes":21,"connections":20},"runtime":{"status":"Stopped","rawStatus":"Stopped","currentNodeId":null,"waitingFor":null,"lastEvent":"","lastTransition":""}}
2026-09-24 14:42:41.861 [INFO] [QUEST] Quest UI: камера и ожидаемая цель обработаны. | {"currentNodeId":null,"targetPointId":null,"targetFound":false,"camera":{"cx":158898,"cz":-76926.55,"mpp":110.81336633663365}}
2026-09-24 14:42:41.862 [INFO] [QUEST] WEB: Simulator получил snapshot. | {"points":5192,"selectedPointId":null,"player":{"x":158898,"y":89.5193,"z":-76926.55},"version":"1.0.40.180-LOCATION-SEARCH-TRACE-R28"}
2026-09-24 14:42:41.862 [INFO] [QUEST] Интерфейс Scene: состояние обновлено. | {"kind":null,"active":false,"requestId":null,"changed":false}
2026-09-24 14:43:11.717 [INFO] [QUEST] WEB: Simulator Web UI готов. | {"canvas":true,"side":true,"url":"file:///C:/Users/Admin/AppData/Local/Temp/.net/AssistQuestEditor/-I6e6i1eZS6V/Web/simulator.html?v=1.0.40.180"}
2026-09-24 14:43:11.719 [INFO] [QUEST] WEB: Simulator interface layer готов. | {"layer":true,"supportsDialogue":true,"supportsChoice":true}
2026-09-24 14:43:11.720 [INFO] [QUEST] WEB: Web document load завершён. | {"title":"Симулятор","url":"file:///C:/Users/Admin/AppData/Local/Temp/.net/AssistQuestEditor/-I6e6i1eZS6V/Web/simulator.html?v=1.0.40.180"}
2026-09-24 14:43:11.733 [INFO] [QUEST] Journal: событие добавлено. | {"eventType":"ChannelChanged","timestamp":"2026-09-24T09:43:11.7244861+00:00","source":"Кампания","message":"{\"channel\":\"environment\",\"description\":\"Изменено окружение\"}","entryCount":1,"detached":true}
